word_id,synset_id,NoYES,NoTOTAL,acc_rate
6362,v#00581211,5,5,1.0000
6362,v#00587298,5,5,1.0000
7107,n#08734702,5,5,1.0000
7108,n#08734702,5,5,1.0000
11341,r#00003409,5,5,1.0000
11341,r#00216442,5,5,1.0000
394,n#00181376,4,5,0.8000
394,n#02159544,4,5,0.8000
394,n#02641840,4,5,0.8000
1260,v#00170705,4,5,0.8000
1261,v#00170705,4,5,0.8000
5064,r#00345036,4,5,0.8000
5064,r#00348275,4,5,0.8000
6362,v#00587155,4,5,0.8000
6984,r#00284957,4,5,0.8000
7107,n#08734429,4,5,0.8000
7108,n#08734429,4,5,0.8000
7310,v#00334002,4,5,0.8000
7310,v#00903064,4,5,0.8000
7310,v#01691743,4,5,0.8000
7311,v#00334002,4,5,0.8000
7311,v#00903064,4,5,0.8000
7311,v#01691743,4,5,0.8000
8849,r#00082992,4,5,0.8000
11341,r#00214779,4,5,0.8000
11342,r#00003409,4,5,0.8000
394,n#00025919,3,5,0.6000
394,n#00810466,3,5,0.6000
394,n#04031707,3,5,0.6000
394,n#05450024,3,5,0.6000
1260,v#00158081,3,5,0.6000
1261,v#00158081,3,5,0.6000
2442,a#00401181,3,5,0.6000
2442,a#00429560,3,5,0.6000
3227,r#00096714,3,5,0.6000
3579,a#01579356,3,5,0.6000
5528,n#03930426,3,5,0.6000
5528,n#04043948,3,5,0.6000
5528,n#04045518,3,5,0.6000
5528,n#06947830,3,5,0.6000
5528,n#07492073,3,5,0.6000
5528,n#07540044,3,5,0.6000
5528,n#10358851,3,5,0.6000
6321,r#00010099,3,5,0.6000
6321,r#00215491,3,5,0.6000
8166,n#04821096,3,5,0.6000
8849,r#00102338,3,5,0.6000
10339,v#00337013,3,5,0.6000
10339,v#00483753,3,5,0.6000
10339,v#00765009,3,5,0.6000
10339,v#00765369,3,5,0.6000
10339,v#00919962,3,5,0.6000
10339,v#01013332,3,5,0.6000
10339,v#01852161,3,5,0.6000
11342,r#00214779,3,5,0.6000
17146,r#00237503,3,5,0.6000
394,n#00625655,2,5,0.4000
1260,v#00107371,2,5,0.4000
1261,v#00107371,2,5,0.4000
1262,v#00134645,2,5,0.4000
2442,a#00398231,2,5,0.4000
3579,a#00889260,2,5,0.4000
3579,a#01584395,2,5,0.4000
5064,r#00187126,2,5,0.4000
5480,v#01543501,2,5,0.4000
5480,v#01547673,2,5,0.4000
5480,v#01583295,2,5,0.4000
5528,n#10357033,2,5,0.4000
6322,r#00010099,2,5,0.4000
6362,v#01548774,2,5,0.4000
6984,r#00082992,2,5,0.4000
7310,v#00841893,2,5,0.4000
7311,v#00841893,2,5,0.4000
7851,a#00266706,2,5,0.4000
7851,a#00401181,2,5,0.4000
7851,a#00429560,2,5,0.4000
8165,n#00004123,2,5,0.4000
8165,n#04290247,2,5,0.4000
8165,n#06380834,2,5,0.4000
8165,n#06381104,2,5,0.4000
8165,n#06728126,2,5,0.4000
8165,n#09614621,2,5,0.4000
13552,r#00019096,2,5,0.4000
13552,r#00049382,2,5,0.4000
13553,r#00117423,2,5,0.4000
15179,r#00499119,2,5,0.4000
16261,a#00859401,2,5,0.4000
16261,a#02464013,2,5,0.4000
17846,r#00306628,2,5,0.4000
18062,n#00246210,2,5,0.4000
18062,n#00778442,2,5,0.4000
18062,n#05367634,2,5,0.4000
18062,n#05368274,2,5,0.4000
18062,n#10070254,2,5,0.4000
18062,n#10072413,2,5,0.4000
18613,n#03659222,2,5,0.4000
18613,n#03706170,2,5,0.4000
18613,n#03797053,2,5,0.4000
18613,n#03862786,2,5,0.4000
18613,n#04390854,2,5,0.4000
394,n#10391014,1,5,0.2000
1262,v#00263886,1,5,0.2000
3227,r#00096343,1,5,0.2000
3579,a#01431533,1,5,0.2000
5480,v#00547843,1,5,0.2000
5480,v#01540968,1,5,0.2000
5528,n#00102269,1,5,0.2000
6984,r#00102338,1,5,0.2000
7107,n#05760066,1,5,0.2000
7107,n#09422963,1,5,0.2000
7108,n#05760066,1,5,0.2000
7108,n#09422963,1,5,0.2000
8165,n#00863895,1,5,0.2000
8165,n#06349777,1,5,0.2000
10339,v#00690655,1,5,0.2000
10339,v#01651958,1,5,0.2000
10339,v#01743494,1,5,0.2000
13552,r#00019209,1,5,0.2000
13553,r#00086063,1,5,0.2000
13756,a#01733361,1,5,0.2000
13757,a#02290045,1,5,0.2000
15117,n#03250224,1,5,0.2000
15117,n#06349777,1,5,0.2000
15117,n#06380834,1,5,0.2000
15117,n#06381104,1,5,0.2000
15117,n#06387973,1,5,0.2000
15179,r#00081536,1,5,0.2000
16560,a#02229453,1,5,0.2000
16561,a#00669114,1,5,0.2000
16561,a#01536230,1,5,0.2000
16561,a#02229453,1,5,0.2000
16849,v#00491793,1,5,0.2000
16849,v#00827658,1,5,0.2000
16849,v#00987679,1,5,0.2000
16850,v#01474694,1,5,0.2000
17146,r#00221822,1,5,0.2000
17846,r#00149700,1,5,0.2000
18179,v#01568959,1,5,0.2000
18180,v#00690810,1,5,0.2000
18180,v#01004644,1,5,0.2000
18180,v#01568959,1,5,0.2000
18613,n#03658987,1,5,0.2000
18613,n#03682408,1,5,0.2000
18732,v#00802008,1,5,0.2000
18732,v#00813980,1,5,0.2000
18732,v#00814298,1,5,0.2000
18733,v#00802008,1,5,0.2000
18733,v#00813980,1,5,0.2000
18733,v#00814298,1,5,0.2000
19466,r#00030373,1,5,0.2000
22262,r#00203867,1,5,0.2000
22438,n#03829724,1,5,0.2000
32015,r#00135578,1,5,0.2000
32166,r#00198176,1,5,0.2000
32166,r#00212138,1,5,0.2000
32732,v#00392502,1,5,0.2000
32732,v#01202395,1,5,0.2000
32732,v#01291209,1,5,0.2000
32771,r#00106764,1,5,0.2000
32771,r#00182910,1,5,0.2000
33339,r#00174625,1,5,0.2000
36269,r#00077283,1,5,0.2000
36867,r#00046493,1,5,0.2000
36867,r#00046728,1,5,0.2000
36867,r#00063279,1,5,0.2000
38214,r#00081536,1,5,0.2000
38214,r#00499119,1,5,0.2000
38560,r#00082992,1,5,0.2000
38661,a#01475714,1,5,0.2000
38661,a#01476902,1,5,0.2000
38798,a#00045826,1,5,0.2000
38798,a#00129370,1,5,0.2000
38798,a#00889260,1,5,0.2000
38798,a#01431533,1,5,0.2000
38798,a#01579356,1,5,0.2000
38798,a#01665065,1,5,0.2000
1260,v#00167804,0,5,0.0000
1261,v#00167804,0,5,0.0000
1262,v#00260683,0,5,0.0000
1262,v#00820086,0,5,0.0000
2442,a#00266706,0,5,0.0000
2442,a#01836670,0,5,0.0000
3227,r#00046022,0,5,0.0000
3579,a#00129370,0,5,0.0000
3579,a#01629295,0,5,0.0000
3579,a#01667095,0,5,0.0000
5480,v#01541614,0,5,0.0000
5480,v#01542031,0,5,0.0000
5480,v#01582922,0,5,0.0000
6321,r#00011647,0,5,0.0000
6322,r#00011647,0,5,0.0000
6984,r#00285860,0,5,0.0000
7107,n#02923710,0,5,0.0000
7107,n#04063459,0,5,0.0000
7108,n#02923710,0,5,0.0000
7108,n#04063459,0,5,0.0000
7310,v#00822999,0,5,0.0000
7310,v#01206630,0,5,0.0000
7311,v#00822999,0,5,0.0000
7311,v#01206630,0,5,0.0000
7851,a#00398231,0,5,0.0000
7851,a#01267106,0,5,0.0000
7851,a#01836670,0,5,0.0000
7852,a#01836670,0,5,0.0000
8165,n#03653606,0,5,0.0000
8165,n#04056183,0,5,0.0000
8165,n#04774665,0,5,0.0000
8165,n#04890744,0,5,0.0000
8165,n#05005140,0,5,0.0000
8165,n#06950891,0,5,0.0000
8165,n#07311393,0,5,0.0000
8165,n#10045044,0,5,0.0000
8165,n#10865688,0,5,0.0000
8165,n#10866163,0,5,0.0000
8166,n#06108853,0,5,0.0000
8849,r#00285860,0,5,0.0000
10339,v#00245305,0,5,0.0000
10339,v#00245987,0,5,0.0000
10339,v#00428966,0,5,0.0000
10339,v#01404850,0,5,0.0000
10339,v#01779664,0,5,0.0000
13757,a#02288309,0,5,0.0000
13757,a#02289630,0,5,0.0000
15117,n#00863895,0,5,0.0000
15117,n#03250547,0,5,0.0000
15117,n#04290247,0,5,0.0000
15117,n#06197821,0,5,0.0000
15117,n#07273905,0,5,0.0000
15117,n#07311393,0,5,0.0000
15117,n#10019938,0,5,0.0000
15117,n#10045044,0,5,0.0000
15179,r#00244868,0,5,0.0000
16849,v#00059669,0,5,0.0000
16849,v#00500744,0,5,0.0000
16849,v#00827485,0,5,0.0000
16849,v#01498703,0,5,0.0000
16850,v#00488684,0,5,0.0000
16850,v#01124979,0,5,0.0000
16850,v#01467069,0,5,0.0000
17846,r#00277636,0,5,0.0000
18062,n#00758285,0,5,0.0000
18179,v#00505537,0,5,0.0000
18179,v#00506658,0,5,0.0000
18179,v#01507640,0,5,0.0000
18179,v#01578874,0,5,0.0000
18179,v#01625416,0,5,0.0000
18179,v#01656373,0,5,0.0000
18179,v#01689901,0,5,0.0000
18179,v#01712330,0,5,0.0000
18180,v#00506658,0,5,0.0000
18180,v#01625416,0,5,0.0000
18180,v#01712330,0,5,0.0000
18732,v#01078056,0,5,0.0000
18732,v#01242209,0,5,0.0000
18733,v#01078056,0,5,0.0000
18733,v#01242209,0,5,0.0000
18734,v#00038574,0,5,0.0000
18734,v#00071495,0,5,0.0000
18734,v#00665595,0,5,0.0000
18734,v#01890772,0,5,0.0000
18735,v#00655737,0,5,0.0000
18736,v#00655737,0,5,0.0000
18741,v#00802008,0,5,0.0000
18741,v#00813980,0,5,0.0000
18741,v#00814298,0,5,0.0000
18741,v#01078056,0,5,0.0000
18741,v#01242209,0,5,0.0000
19466,r#00016468,0,5,0.0000
19660,a#01162278,0,5,0.0000
19660,a#02273366,0,5,0.0000
19747,n#04483764,0,5,0.0000
19747,n#04484940,0,5,0.0000
19747,n#04549495,0,5,0.0000
19747,n#04559362,0,5,0.0000
19747,n#05003120,0,5,0.0000
19747,n#05003239,0,5,0.0000
19748,n#00577745,0,5,0.0000
19748,n#00658528,0,5,0.0000
19748,n#02498378,0,5,0.0000
19748,n#03007566,0,5,0.0000
19748,n#03229727,0,5,0.0000
19748,n#04501544,0,5,0.0000
19748,n#04527384,0,5,0.0000
19748,n#04549495,0,5,0.0000
19748,n#04559362,0,5,0.0000
19748,n#04560561,0,5,0.0000
19748,n#06339699,0,5,0.0000
19748,n#07415419,0,5,0.0000
19748,n#07415674,0,5,0.0000
19748,n#09698499,0,5,0.0000
19824,v#00153724,0,5,0.0000
19824,v#00270123,0,5,0.0000
19824,v#00313984,0,5,0.0000
19824,v#00315126,0,5,0.0000
19824,v#01078168,0,5,0.0000
19824,v#01421290,0,5,0.0000
19824,v#01581572,0,5,0.0000
19824,v#01600942,0,5,0.0000
20219,r#00033931,0,5,0.0000
20219,r#00144019,0,5,0.0000
20219,r#00299908,0,5,0.0000
20568,r#00082992,0,5,0.0000
20568,r#00102338,0,5,0.0000
20568,r#00202980,0,5,0.0000
20568,r#00285860,0,5,0.0000
20686,v#00095506,0,5,0.0000
20686,v#00427776,0,5,0.0000
20686,v#01091650,0,5,0.0000
20686,v#01122191,0,5,0.0000
20686,v#01123517,0,5,0.0000
20686,v#01124228,0,5,0.0000
20686,v#01139594,0,5,0.0000
20686,v#01164223,0,5,0.0000
20686,v#01169420,0,5,0.0000
20686,v#01198215,0,5,0.0000
20686,v#01668018,0,5,0.0000
20688,v#00568049,0,5,0.0000
20688,v#01122191,0,5,0.0000
20688,v#01136359,0,5,0.0000
20688,v#01139594,0,5,0.0000
20688,v#01178748,0,5,0.0000
20689,v#00095506,0,5,0.0000
20689,v#00427776,0,5,0.0000
20689,v#01091650,0,5,0.0000
20689,v#01122191,0,5,0.0000
20689,v#01123517,0,5,0.0000
20689,v#01124228,0,5,0.0000
20689,v#01139594,0,5,0.0000
20689,v#01164223,0,5,0.0000
20689,v#01169420,0,5,0.0000
20689,v#01198215,0,5,0.0000
20689,v#01668018,0,5,0.0000
20691,v#00568049,0,5,0.0000
20691,v#01122191,0,5,0.0000
20691,v#01136359,0,5,0.0000
20691,v#01139594,0,5,0.0000
20691,v#01178748,0,5,0.0000
20697,n#03992325,0,5,0.0000
20697,n#04517355,0,5,0.0000
20697,n#04543461,0,5,0.0000
20697,n#04904589,0,5,0.0000
20697,n#06243906,0,5,0.0000
20697,n#10019535,0,5,0.0000
20698,n#00137299,0,5,0.0000
20698,n#00516738,0,5,0.0000
20698,n#03701336,0,5,0.0000
20698,n#03992325,0,5,0.0000
20698,n#04021804,0,5,0.0000
20698,n#04586952,0,5,0.0000
20698,n#04822648,0,5,0.0000
20698,n#05054071,0,5,0.0000
20698,n#05438121,0,5,0.0000
20698,n#05438448,0,5,0.0000
20698,n#06336706,0,5,0.0000
20698,n#06337331,0,5,0.0000
20698,n#09908161,0,5,0.0000
20698,n#10867885,0,5,0.0000
20698,n#10966461,0,5,0.0000
20698,n#10966797,0,5,0.0000
20698,n#10967721,0,5,0.0000
20701,a#01753470,0,5,0.0000
20701,a#01964598,0,5,0.0000
20701,a#02151388,0,5,0.0000
20702,a#01174299,0,5,0.0000
20702,a#02180646,0,5,0.0000
20923,n#00027339,0,5,0.0000
20923,n#00363615,0,5,0.0000
20923,n#00487065,0,5,0.0000
20923,n#02676671,0,5,0.0000
20923,n#03008954,0,5,0.0000
20923,n#03683012,0,5,0.0000
20923,n#03684305,0,5,0.0000
20923,n#03685812,0,5,0.0000
20923,n#03689966,0,5,0.0000
20923,n#03952527,0,5,0.0000
20923,n#04048073,0,5,0.0000
20923,n#04496504,0,5,0.0000
20923,n#04549741,0,5,0.0000
20923,n#04553967,0,5,0.0000
20923,n#04560561,0,5,0.0000
20923,n#04753063,0,5,0.0000
20923,n#05306507,0,5,0.0000
20923,n#05317127,0,5,0.0000
20923,n#05457551,0,5,0.0000
20923,n#07586543,0,5,0.0000
