lemma,pos,NoRel,m_v,Mv,A_v,s_v
etiamnum,ADV,8,1.0000,1.0000,1.00000000,0
unice,ADV,2,1.0000,1.0000,1.00000000,0
festinanter,ADV,6,0.2000,1.0000,0.80000000,0.30550504633038933
prudenter,ADV,4,0.6000,1.0000,0.80000000,0.2
religiose,ADV,4,0.6000,1.0000,0.80000000,0.20000000000000004
velociter,ADV,4,0.6000,1.0000,0.80000000,0.20000000000000004
diligenter,ADV,22,0.2000,1.0000,0.74545455,0.30855568633594804
facile,ADV,11,0.2000,1.0000,0.74545455,0.2571297386132901
graviter,ADV,7,0.2000,1.0000,0.71428571,0.3522522287410843
constanter,ADV,23,0.2000,1.0000,0.70434783,0.3581088744691131
comiter,ADV,9,0.2000,1.0000,0.68888889,0.3142696805273545
belle,ADV,33,0.2000,1.0000,0.64848485,0.3376578976287059
aspere,ADV,10,0.2000,1.0000,0.64000000,0.27999999999999997
celeriter,ADV,4,0.2000,1.0000,0.60000000,0.282842712474619
destricte,ADV,7,0.2000,1.0000,0.60000000,0.30237157840738177
hodie,ADV,2,0.2000,1.0000,0.60000000,0.4
quiete,ADV,8,0.2000,1.0000,0.60000000,0.282842712474619
sedulo,ADV,2,0.2000,1.0000,0.60000000,0.39999999999999997
tandem,ADV,4,0.2000,1.0000,0.60000000,0.4
amplius,ADV,10,0.2000,1.0000,0.56000000,0.21540659228538014
verum,ADV,10,0.2000,1.0000,0.52000000,0.2993325909419153
breviter,ADV,9,0.2000,1.0000,0.46666667,0.3771236166328254
proprie,ADV,9,0.2000,1.0000,0.46666667,0.2666666666666666
subtus,ADV,9,0.2000,1.0000,0.46666667,0.32659863237109044
cumprime,ADV,4,0.2000,0.6000,0.30000000,0.1732050807568877
,,221,,,,
