lemma,pos,NoRel,m_v,Mv,A_v,s_v
benedico,V,5,0.6000,1.0000,0.84000000,0.19595917942265426
caedo,V,72,0.2000,1.0000,0.82222222,0.27397395568751
puto,V,85,0.2000,1.0000,0.81647059,0.2848516884785233
suspicio,V,2,0.6000,1.0000,0.80000000,0.20000000000000004
glomero,V,11,0.2000,1.0000,0.78181818,0.2622219109428356
illustro,V,10,0.2000,1.0000,0.76000000,0.265329983228432
pronuntio,V,23,0.2000,1.0000,0.75652174,0.28257524885690294
edo,V,226,0.2000,1.0000,0.72920354,0.33383834144321717
hortor,V,13,0.2000,1.0000,0.72307692,0.3285254846778865
claudo,V,50,0.2000,1.0000,0.71200000,0.3102515108746451
dispono,V,69,0.2000,1.0000,0.70434783,0.3381256016560623
deprehendo,V,69,0.2000,1.0000,0.68695652,0.3111051099130142
volo,V,34,0.2000,1.0000,0.65882353,0.29317495986769676
uro,V,14,0.2000,1.0000,0.65714286,0.33319725113401716
adolesco,V,46,0.2000,1.0000,0.65217391,0.3295181795042855
fingo,V,130,0.2000,1.0000,0.64923077,0.32915887065394045
fundo,V,50,0.2000,1.0000,0.64800000,0.32633724886993815
torqueo,V,59,0.2000,1.0000,0.62033898,0.34874091253184236
recenseo,V,52,0.2000,1.0000,0.61538462,0.323076923076923
quatio,V,8,0.2000,1.0000,0.60000000,0.34641016151377546
exinanio,V,35,0.2000,1.0000,0.58857143,0.2944936851822886
teneo,V,87,0.2000,1.0000,0.58620690,0.3118990456302828
video,V,36,0.2000,1.0000,0.57777778,0.3258417399692262
attribuo,V,21,0.2000,1.0000,0.54285714,0.3331972511340172
servo,V,76,0.2000,1.0000,0.53157895,0.3204480934713425
,,1283,,,,
