lemma,pos,NoRel,m_v,Mv,A_v,s_v
excelsus,ADJ,27,0.2000,1.0000,0.86666667,0.2666666666666667
sagax,ADJ,20,0.2000,1.0000,0.82000000,0.26758176320519306
fructuosus,ADJ,13,0.6000,1.0000,0.81538462,0.19940740610485724
horrificus,ADJ,8,0.2000,1.0000,0.80000000,0.28284271247461906
annosus,ADJ,16,0.2000,1.0000,0.77500000,0.2436698586202241
albus,ADJ,79,0.2000,1.0000,0.76708861,0.295845289275778
imbecillus,ADJ,25,0.2000,1.0000,0.76000000,0.29933259094191533
gratus,ADJ,20,0.2000,1.0000,0.74000000,0.3411744421846396
demissus,ADJ,40,0.2000,1.0000,0.72000000,0.31240998703626616
contentus,ADJ,42,0.2000,1.0000,0.68571429,0.3440455593940656
candidus,ADJ,104,0.2000,1.0000,0.68461538,0.331305468728585
quietus,ADJ,40,0.2000,1.0000,0.68000000,0.3370459909270543
degener,ADJ,41,0.2000,1.0000,0.67804878,0.3088232544652568
volucer,ADJ,28,0.2000,1.0000,0.65714286,0.36589281356759135
firmus,ADJ,100,0.2000,1.0000,0.64800000,0.3263372488699382
tener,ADJ,50,0.2000,1.0000,0.64800000,0.3453925303187665
robustus,ADJ,46,0.2000,1.0000,0.64347826,0.3359944188932462
purus,ADJ,125,0.2000,1.0000,0.63200000,0.29761720380381224
vetus,ADJ,26,0.2000,1.0000,0.63076923,0.34947128281847833
simplex,ADJ,34,0.2000,1.0000,0.62352941,0.3208983928702554
prolixus,ADJ,59,0.2000,1.0000,0.58644068,0.33721573194429527
verecundus,ADJ,8,0.2000,1.0000,0.55000000,0.3122498999199199
vanus,ADJ,18,0.2000,1.0000,0.53333333,0.3333333333333333
genuinus,ADJ,28,0.2000,1.0000,0.52857143,0.33896601479156196
turbidus,ADJ,54,0.2000,1.0000,0.48148148,0.3139202977839569
,,1051,,,,
