"word_id","synset_id","NoYES","NoTOTAL","acc_rate"
"394","n#00025788","0","5","0.0000"
"394","n#00025919","3","5","0.6000"
"394","n#00026402","3","5","0.6000"
"394","n#00155548","0","5","0.0000"
"394","n#00181376","4","5","0.8000"
"394","n#00376081","0","5","0.0000"
"394","n#00601680","0","5","0.0000"
"394","n#00625655","2","5","0.4000"
"394","n#00810466","3","5","0.6000"
"394","n#02159544","4","5","0.8000"
"394","n#02641840","4","5","0.8000"
"394","n#03729314","2","5","0.4000"
"394","n#03939694","1","5","0.2000"
"394","n#04031707","3","5","0.6000"
"394","n#04881717","0","5","0.0000"
"394","n#05344204","0","5","0.0000"
"394","n#05357456","0","5","0.0000"
"394","n#05359296","0","5","0.0000"
"394","n#05450024","3","5","0.6000"
"394","n#05459718","3","5","0.6000"
"394","n#06103316","0","5","0.0000"
"394","n#06103694","0","5","0.0000"
"394","n#06266273","0","5","0.0000"
"394","n#07084364","1","5","0.2000"
"394","n#09655159","0","5","0.0000"
"394","n#10391014","1","5","0.2000"
"1260","v#00063646","0","5","0.0000"
"1260","v#00083639","2","5","0.4000"
"1260","v#00104604","1","5","0.2000"
"1260","v#00107371","2","5","0.4000"
"1260","v#00158081","3","5","0.6000"
"1260","v#00158819","4","5","0.8000"
"1260","v#00167804","0","5","0.0000"
"1260","v#00169382","4","5","0.8000"
"1260","v#00170705","4","5","0.8000"
"1260","v#00170955","1","5","0.2000"
"1260","v#00379987","3","5","0.6000"
"1260","v#01189395","0","5","0.0000"
"1260","v#01790203","0","5","0.0000"
"1261","v#00063646","0","5","0.0000"
"1261","v#00083639","2","5","0.4000"
"1261","v#00104604","1","5","0.2000"
"1261","v#00107371","2","5","0.4000"
"1261","v#00158081","3","5","0.6000"
"1261","v#00158819","4","5","0.8000"
"1261","v#00167804","0","5","0.0000"
"1261","v#00169382","4","5","0.8000"
"1261","v#00170705","4","5","0.8000"
"1261","v#00170955","1","5","0.2000"
"1261","v#00379987","3","5","0.6000"
"1261","v#01189395","0","5","0.0000"
"1261","v#01790203","0","5","0.0000"
"1262","v#00070819","0","5","0.0000"
"1262","v#00134645","2","5","0.4000"
"1262","v#00260683","0","5","0.0000"
"1262","v#00262798","3","5","0.6000"
"1262","v#00263602","1","5","0.2000"
"1262","v#00263886","1","5","0.2000"
"1262","v#00559457","0","5","0.0000"
"1262","v#00820086","0","5","0.0000"
"1262","v#01248170","0","5","0.0000"
"1262","v#01451253","0","5","0.0000"
"1262","v#01451409","1","5","0.2000"
"1262","v#01552575","0","5","0.0000"
"1262","v#01693484","0","5","0.0000"
"1262","v#01885781","4","5","0.8000"
"1262","v#01887716","1","5","0.2000"
"1262","v#01887961","0","5","0.0000"
"1262","v#01891783","2","5","0.4000"
"2442","a#00077888","0","5","0.0000"
"2442","a#00176908","3","5","0.6000"
"2442","a#00177134","0","5","0.0000"
"2442","a#00177268","0","5","0.0000"
"2442","a#00177457","4","5","0.8000"
"2442","a#00178165","4","5","0.8000"
"2442","a#00211870","1","5","0.2000"
"2442","a#00215756","0","5","0.0000"
"2442","a#00216139","0","5","0.0000"
"2442","a#00239024","0","5","0.0000"
"2442","a#00239844","4","5","0.8000"
"2442","a#00243122","1","5","0.2000"
"2442","a#00266706","0","5","0.0000"
"2442","a#00268577","0","5","0.0000"
"2442","a#00273770","1","5","0.2000"
"2442","a#00279356","1","5","0.2000"
"2442","a#00366117","0","5","0.0000"
"2442","a#00367747","2","5","0.4000"
"2442","a#00373395","1","5","0.2000"
"2442","a#00375424","2","5","0.4000"
"2442","a#00376711","3","5","0.6000"
"2442","a#00377928","3","5","0.6000"
"2442","a#00378574","4","5","0.8000"
"2442","a#00380084","1","5","0.2000"
"2442","a#00380571","2","5","0.4000"
"2442","a#00398231","2","5","0.4000"
"2442","a#00401181","3","5","0.6000"
"2442","a#00404230","2","5","0.4000"
"2442","a#00426635","3","5","0.6000"
"2442","a#00429560","3","5","0.6000"
"2442","a#00429748","1","5","0.2000"
"2442","a#00430055","3","5","0.6000"
"2442","a#00430862","0","5","0.0000"
"2442","a#00572209","0","5","0.0000"
"2442","a#00633440","1","5","0.2000"
"2442","a#00663525","1","5","0.2000"
"2442","a#00720975","0","5","0.0000"
"2442","a#00734543","0","5","0.0000"
"2442","a#00742983","0","5","0.0000"
"2442","a#00827664","0","5","0.0000"
"2442","a#00908801","0","5","0.0000"
"2442","a#00909260","0","5","0.0000"
"2442","a#00942944","2","5","0.4000"
"2442","a#00943564","0","5","0.0000"
"2442","a#00963416","0","5","0.0000"
"2442","a#00997654","1","5","0.2000"
"2442","a#01009540","0","5","0.0000"
"2442","a#01023795","1","5","0.2000"
"2442","a#01035211","0","5","0.0000"
"2442","a#01074254","0","5","0.0000"
"2442","a#01083421","0","5","0.0000"
"2442","a#01100061","0","5","0.0000"
"2442","a#01199615","0","5","0.0000"
"2442","a#01267380","0","5","0.0000"
"2442","a#01273978","0","5","0.0000"
"2442","a#01282082","0","5","0.0000"
"2442","a#01348829","0","5","0.0000"
"2442","a#01348978","0","5","0.0000"
"2442","a#01398518","0","5","0.0000"
"2442","a#01423028","0","5","0.0000"
"2442","a#01468678","0","5","0.0000"
"2442","a#01526074","0","5","0.0000"
"2442","a#01549077","0","5","0.0000"
"2442","a#01564142","0","5","0.0000"
"2442","a#01580848","0","5","0.0000"
"2442","a#01586508","2","5","0.4000"
"2442","a#01614148","1","5","0.2000"
"2442","a#01638112","0","5","0.0000"
"2442","a#01660176","0","5","0.0000"
"2442","a#01686987","0","5","0.0000"
"2442","a#01741423","0","5","0.0000"
"2442","a#01835495","0","5","0.0000"
"2442","a#01836670","0","5","0.0000"
"2442","a#01844202","0","5","0.0000"
"2442","a#01921502","0","5","0.0000"
"2442","a#01938641","0","5","0.0000"
"2442","a#02215240","3","5","0.6000"
"2442","a#02341084","1","5","0.2000"
"2442","a#02572350","0","5","0.0000"
"3225","n#09759561","5","5","1.0000"
"3226","a#00048219","2","5","0.4000"
"3226","a#00412322","2","5","0.4000"
"3226","a#01339584","2","5","0.4000"
"3226","a#01378273","2","5","0.4000"
"3226","a#01492370","2","5","0.4000"
"3226","a#01493656","2","5","0.4000"
"3227","r#00028117","2","5","0.4000"
"3227","r#00028708","0","5","0.0000"
"3227","r#00029054","3","5","0.6000"
"3227","r#00029512","2","5","0.4000"
"3227","r#00044043","1","5","0.2000"
"3227","r#00044140","0","5","0.0000"
"3227","r#00044333","0","5","0.0000"
"3227","r#00046022","0","5","0.0000"
"3227","r#00096343","1","5","0.2000"
"3227","r#00096714","3","5","0.6000"
"3579","a#00129370","0","5","0.0000"
"3579","a#00780988","0","5","0.0000"
"3579","a#00889260","2","5","0.4000"
"3579","a#00917756","0","5","0.0000"
"3579","a#01019397","0","5","0.0000"
"3579","a#01067511","0","5","0.0000"
"3579","a#01382041","4","5","0.8000"
"3579","a#01431533","1","5","0.2000"
"3579","a#01579356","3","5","0.6000"
"3579","a#01580930","3","5","0.6000"
"3579","a#01584395","2","5","0.4000"
"3579","a#01585161","3","5","0.6000"
"3579","a#01585423","0","5","0.0000"
"3579","a#01629295","0","5","0.0000"
"3579","a#01667095","0","5","0.0000"
"3579","a#02457831","0","5","0.0000"
"5064","r#00006065","0","5","0.0000"
"5064","r#00014775","0","5","0.0000"
"5064","r#00088976","1","5","0.2000"
"5064","r#00187126","2","5","0.4000"
"5064","r#00237503","3","5","0.6000"
"5064","r#00345036","4","5","0.8000"
"5064","r#00348275","4","5","0.8000"
"5064","r#00348395","1","5","0.2000"
"5064","r#00348512","3","5","0.6000"
"5064","r#00486667","3","5","0.6000"
"5480","v#00496485","0","5","0.0000"
"5480","v#00500874","2","5","0.4000"
"5480","v#00547843","1","5","0.2000"
"5480","v#00718708","1","5","0.2000"
"5480","v#01540968","1","5","0.2000"
"5480","v#01541614","0","5","0.0000"
"5480","v#01541783","1","5","0.2000"
"5480","v#01542031","0","5","0.0000"
"5480","v#01543325","4","5","0.8000"
"5480","v#01543501","2","5","0.4000"
"5480","v#01543927","2","5","0.4000"
"5480","v#01547673","2","5","0.4000"
"5480","v#01566906","0","5","0.0000"
"5480","v#01582922","0","5","0.0000"
"5480","v#01583295","2","5","0.4000"
"5480","v#01598583","0","5","0.0000"
"5480","v#01600647","1","5","0.2000"
"5480","v#01632168","0","5","0.0000"
"5480","v#01686884","4","5","0.8000"
"5480","v#01695538","0","5","0.0000"
"5480","v#01869530","0","5","0.0000"
"5527","n#00517391","2","5","0.4000"
"5527","n#00651563","0","5","0.0000"
"5527","n#03928263","0","5","0.0000"
"5527","n#03972297","0","5","0.0000"
"5527","n#04031459","2","5","0.4000"
"5527","n#04035318","3","5","0.6000"
"5527","n#04041746","2","5","0.4000"
"5527","n#04349777","0","5","0.0000"
"5527","n#04781609","1","5","0.2000"
"5527","n#04782408","0","5","0.0000"
"5527","n#04782793","0","5","0.0000"
"5527","n#04784828","1","5","0.2000"
"5527","n#04785043","0","5","0.0000"
"5527","n#04785265","0","5","0.0000"
"5527","n#04902219","0","5","0.0000"
"5527","n#04909380","1","5","0.2000"
"5527","n#04913178","2","5","0.4000"
"5527","n#04988933","1","5","0.2000"
"5527","n#05101570","0","5","0.0000"
"5527","n#05359821","2","5","0.4000"
"5527","n#06042229","0","5","0.0000"
"5527","n#06078854","1","5","0.2000"
"5527","n#06107600","0","5","0.0000"
"5527","n#06246680","0","5","0.0000"
"5527","n#07102147","0","5","0.0000"
"5527","n#07491804","3","5","0.6000"
"5527","n#07795077","0","5","0.0000"
"5527","n#09525525","2","5","0.4000"
"5527","n#10048361","1","5","0.2000"
