word_id,synset_id,NoYES,NoTOTAL,acc_rate
1260,v#01732007,4,5,0.8000
1261,v#01732007,4,5,0.8000
7310,v#00902939,4,5,0.8000
7311,v#00902939,4,5,0.8000
394,n#10134893,3,5,0.6000
7310,v#00901083,2,5,0.4000
7311,v#00901083,2,5,0.4000
7310,v#00298808,1,5,0.2000
7311,v#00298808,1,5,0.2000
16849,v#00491581,1,5,0.2000
16850,v#00491581,1,5,0.2000
21467,n#04119632,1,5,0.2000
394,n#00291138,0,5,0.0000
394,n#05033377,0,5,0.0000
394,n#W0003119,0,5,0.0000
1262,v#01732007,0,5,0.0000
16849,v#01771348,0,5,0.0000
16850,v#01771348,0,5,0.0000
18732,v#01507640,0,5,0.0000
18733,v#01507640,0,5,0.0000
18734,v#01507640,0,5,0.0000
18735,v#01507640,0,5,0.0000
18736,v#01507640,0,5,0.0000
18737,v#01507640,0,5,0.0000
18738,v#01507640,0,5,0.0000
18739,v#01507640,0,5,0.0000
18740,v#01507640,0,5,0.0000
18741,v#01507640,0,5,0.0000
20701,a#00580464,0,5,0.0000
20701,a#02379369,0,5,0.0000
20702,a#00580464,0,5,0.0000
20702,a#02379369,0,5,0.0000
22309,n#05575841,0,5,0.0000
34957,v#01673353,0,5,0.0000
34958,v#01673353,0,5,0.0000
