lemma,pos,NoRel,m_v,Mv,A_v,s_v
accessus,N,30,0.2000,1.0000,0.68000000,0.2993325909419153
adolesco,V,46,0.2000,1.0000,0.65217391,0.3295181795042855
albus,ADJ,79,0.2000,1.0000,0.76708861,0.2958452892757781
amplius,ADV,10,0.2000,1.0000,0.56000000,0.21540659228538017
annosus,ADJ,16,0.2000,1.0000,0.77500000,0.2436698586202241
aspere,ADV,10,0.2000,1.0000,0.64000000,0.27999999999999997
attribuo,V,21,0.2000,1.0000,0.54285714,0.3331972511340171
auctoritas,N,68,0.2000,1.0000,0.65294118,0.3558215796432145
belle,ADV,33,0.2000,1.0000,0.64848485,0.33765789762870596
benedico,V,5,0.6000,1.0000,0.84000000,0.19595917942265426
breviter,ADV,9,0.2000,1.0000,0.46666667,0.37712361663282534
bulbus,N,16,0.6000,1.0000,0.85000000,0.19364916731037085
caedo,V,72,0.2000,1.0000,0.82222222,0.27397395568751004
candidus,ADJ,104,0.2000,1.0000,0.68461538,0.3313054687285851
caput,N,87,0.2000,1.0000,0.76091954,0.2999449458445993
celeriter,ADV,4,0.2000,1.0000,0.60000000,0.282842712474619
claudo,V,50,0.2000,1.0000,0.71200000,0.31025151087464503
comiter,ADV,9,0.2000,1.0000,0.68888889,0.31426968052735443
constanter,ADV,23,0.2000,1.0000,0.70434783,0.35810887446911305
contentus,ADJ,42,0.2000,1.0000,0.68571429,0.34404555939406556
culmen,N,57,0.2000,1.0000,0.83859649,0.2686903820221284
cumprime,ADV,4,0.2000,0.6000,0.30000000,0.17320508075688773
degener,ADJ,41,0.2000,1.0000,0.67804878,0.3088232544652568
demissus,ADJ,40,0.2000,1.0000,0.72000000,0.3124099870362662
deprehendo,V,69,0.2000,1.0000,0.68695652,0.31110510991301416
destricte,ADV,7,0.2000,1.0000,0.60000000,0.30237157840738177
diligenter,ADV,22,0.2000,1.0000,0.74545455,0.308555686335948
discidium,N,17,0.2000,1.0000,0.62352941,0.3489975758633253
dispono,V,69,0.2000,1.0000,0.70434783,0.3381256016560622
duritia,N,14,0.2000,1.0000,0.60000000,0.30237157840738177
edo,V,226,0.2000,1.0000,0.72920354,0.3338383414432172
etiamnum,ADV,8,1.0000,1.0000,1.00000000,0
excelsus,ADJ,27,0.2000,1.0000,0.86666667,0.2666666666666667
exemplum,N,67,0.2000,1.0000,0.77910448,0.30348095587197216
exinanio,V,35,0.2000,1.0000,0.58857143,0.2944936851822885
facile,ADV,11,0.2000,1.0000,0.74545455,0.25712973861329
festinanter,ADV,6,0.2000,1.0000,0.80000000,0.30550504633038933
fingo,V,130,0.2000,1.0000,0.64923077,0.3291588706539404
finitio,N,71,0.2000,1.0000,0.70140845,0.31998809737831946
firmus,ADJ,100,0.2000,1.0000,0.64800000,0.32633724886993826
forma,N,47,0.2000,1.0000,0.62553191,0.33419836452888274
fructuosus,ADJ,13,0.6000,1.0000,0.81538462,0.19940740610485724
fundo,V,50,0.2000,1.0000,0.64800000,0.3263372488699383
genuinus,ADJ,28,0.2000,1.0000,0.52857143,0.3389660147915621
glomero,V,11,0.2000,1.0000,0.78181818,0.2622219109428356
gratia,N,49,0.2000,1.0000,0.68979592,0.3453746253274479
gratus,ADJ,20,0.2000,1.0000,0.74000000,0.34117444218463966
graviter,ADV,7,0.2000,1.0000,0.71428571,0.3522522287410844
grex,N,46,0.2000,1.0000,0.81739130,0.30878749399242966
hodie,ADV,2,0.2000,1.0000,0.60000000,0.4
honor,N,28,0.2000,1.0000,0.67142857,0.3389660147915621
horrificus,ADJ,8,0.2000,1.0000,0.80000000,0.28284271247461895
hortor,V,13,0.2000,1.0000,0.72307692,0.32852548467788656
humilitas,N,20,0.2000,1.0000,0.70000000,0.2792848008753788
illustro,V,10,0.2000,1.0000,0.76000000,0.26532998322843204
imago,N,30,0.2000,1.0000,0.73333333,0.3155242550986462
imbecillus,ADJ,25,0.2000,1.0000,0.76000000,0.29933259094191533
probatio,N,41,0.2000,1.0000,0.65853659,0.35952245410123473
prolixus,ADJ,59,0.2000,1.0000,0.58644068,0.33721573194429527
pronuntio,V,23,0.2000,1.0000,0.75652174,0.28257524885690294
proprie,ADV,9,0.2000,1.0000,0.46666667,0.26666666666666666
prudenter,ADV,4,0.6000,1.0000,0.80000000,0.20000000000000004
purus,ADJ,125,0.2000,1.0000,0.63200000,0.29761720380381235
puto,V,85,0.2000,1.0000,0.81647059,0.2848516884785234
quantitas,N,29,0.2000,1.0000,0.68275862,0.36959340708894517
quatio,V,8,0.2000,1.0000,0.60000000,0.3464101615137755
quiete,ADV,8,0.2000,1.0000,0.60000000,0.282842712474619
quietus,ADJ,40,0.2000,1.0000,0.68000000,0.33704599092705434
radix,N,22,0.2000,1.0000,0.74545455,0.25712973861329
recenseo,V,52,0.2000,1.0000,0.61538462,0.3230769230769231
religiose,ADV,4,0.6000,1.0000,0.80000000,0.20000000000000004
robur,N,56,0.2000,1.0000,0.67857143,0.34985419703595594
robustus,ADJ,46,0.2000,1.0000,0.64347826,0.33599441889324616
sagax,ADJ,20,0.2000,1.0000,0.82000000,0.26758176320519306
sedulo,ADV,2,0.2000,1.0000,0.60000000,0.4
sententia,N,32,0.2000,1.0000,0.85000000,0.2783882181415011
servo,V,76,0.2000,1.0000,0.53157895,0.3204480934713425
simplex,ADJ,34,0.2000,1.0000,0.62352941,0.32089839287025546
spatium,N,125,0.2000,1.0000,0.76000000,0.2993325909419153
subtus,ADV,9,0.2000,1.0000,0.46666667,0.32659863237109044
suspicio,V,2,0.6000,1.0000,0.80000000,0.20000000000000004
tandem,ADV,4,0.2000,1.0000,0.60000000,0.4
teneo,V,87,0.2000,1.0000,0.58620690,0.31189904563028287
tener,ADJ,50,0.2000,1.0000,0.64800000,0.3453925303187665
tonus,N,100,0.2000,1.0000,0.78000000,0.3218695387886216
torqueo,V,59,0.2000,1.0000,0.62033898,0.34874091253184225
turbidus,ADJ,54,0.2000,1.0000,0.48148148,0.31392029778395686
unguis,N,8,0.2000,1.0000,0.70000000,0.33166247903553997
unice,ADV,2,1.0000,1.0000,1.00000000,0
uro,V,14,0.2000,1.0000,0.65714286,0.3331972511340172
vanus,ADJ,18,0.2000,1.0000,0.53333333,0.3333333333333333
velociter,ADV,4,0.6000,1.0000,0.80000000,0.20000000000000004
verecundus,ADJ,8,0.2000,1.0000,0.55000000,0.3122498999199199
versus,N,54,0.2000,1.0000,0.82962963,0.2732720999362476
verum,ADV,10,0.2000,1.0000,0.52000000,0.29933259094191533
vetus,ADJ,26,0.2000,1.0000,0.63076923,0.34947128281847833
